absolute_timestamp,gyro_x,gyro_y,gyro_z
1775858382614,-0.020,0.012,-0.008
1775858382634,-0.026,0.008,-0.006
1775858382654,-0.037,0.006,-0.001
1775858382673,-0.042,0.008,0.004
1775858382693,-0.046,0.010,0.027
1775858382713,-0.039,0.020,0.045
1775858382733,-0.022,0.033,0.051
1775858382752,-0.014,0.045,0.049
1775858382772,-0.025,0.054,0.042
1775858382792,-0.050,0.069,0.012
1775858382812,-0.082,0.077,-0.011
1775858382832,-0.105,0.078,-0.031
1775858382851,-0.122,0.072,-0.041
1775858382871,-0.135,0.062,-0.049
1775858382891,-0.134,0.050,-0.051
1775858382911,-0.117,0.030,-0.035
1775858382930,-0.095,0.017,-0.010
1775858382950,-0.079,0.007,0.015
1775858382970,-0.072,0.002,0.028
1775858382990,-0.065,-0.001,0.032
1775858383009,-0.065,-0.004,0.034
1775858383029,-0.064,-0.006,0.032
1775858383049,-0.060,-0.008,0.021
1775858383069,-0.056,-0.010,0.006
1775858383088,-0.063,-0.015,0.008
1775858383108,-0.077,-0.014,0.017
1775858383128,-0.078,-0.008,0.024
1775858383148,-0.065,-0.001,0.035
1775858383167,-0.044,0.005,0.052
1775858383187,-0.025,0.014,0.058
1775858383207,-0.003,0.023,0.047
1775858383227,0.024,0.026,0.031
1775858383247,0.044,0.023,0.021
1775858383266,0.054,0.016,0.010
1775858383286,0.060,0.005,-0.001
1775858383306,0.065,-0.011,-0.009
1775858383326,0.066,-0.028,-0.016
1775858383345,0.054,-0.042,-0.017
1775858383365,0.035,-0.047,-0.021
1775858383385,0.019,-0.048,-0.024
1775858383405,0.008,-0.046,-0.030
1775858383424,-0.000,-0.042,-0.031
1775858383444,-0.008,-0.034,-0.034
1775858383464,-0.005,-0.024,-0.036
1775858383484,-0.000,-0.019,-0.035
1775858383503,0.004,-0.012,-0.034
1775858383523,0.012,-0.008,-0.030
1775858383543,0.022,-0.005,-0.029
1775858383563,0.029,-0.004,-0.027
1775858383582,0.031,-0.007,-0.016
1775858383602,0.033,-0.004,-0.008
1775858383622,0.026,-0.003,-0.001
1775858383642,0.020,0.000,-0.000
1775858383662,0.016,0.001,-0.005
1775858383681,0.011,-0.000,-0.006
1775858383701,-0.000,-0.005,-0.011
1775858383721,-0.006,-0.008,-0.013
1775858383741,-0.011,-0.013,-0.011
1775858383760,-0.011,-0.018,-0.018
1775858383780,-0.009,-0.021,-0.026
1775858383800,-0.010,-0.024,-0.025
1775858383820,-0.010,-0.025,-0.022
1775858383839,-0.012,-0.023,-0.021
1775858383859,-0.018,-0.020,-0.020
1775858383879,-0.019,-0.016,-0.019
1775858383899,-0.013,-0.014,-0.020
1775858383918,-0.008,-0.011,-0.020
1775858383938,-0.005,-0.008,-0.015
1775858383958,-0.003,-0.005,-0.015
1775858383978,0.003,-0.004,-0.017
1775858383997,0.007,-0.006,-0.017
1775858384017,0.011,-0.007,-0.015
1775858384037,0.016,-0.005,-0.015
1775858384057,0.017,-0.003,-0.018
1775858384077,0.014,0.000,-0.014
1775858384096,0.010,0.003,-0.011
1775858384116,0.003,0.005,-0.008
1775858384136,0.003,0.008,-0.006
1775858384156,0.007,0.008,-0.006
1775858384175,0.008,0.007,-0.004
1775858384195,0.006,0.007,-0.001
1775858384215,0.006,0.008,-0.006
1775858384235,0.006,0.006,-0.010
1775858384254,0.004,0.005,-0.008
1775858384274,0.002,0.005,-0.004
1775858384294,0.003,0.007,-0.007
1775858384314,0.008,0.006,-0.012
1775858384333,0.010,0.002,-0.012
1775858384353,0.010,0.000,-0.014
1775858384373,0.009,-0.001,-0.018
1775858384393,0.009,-0.005,-0.017
1775858384413,0.007,-0.006,-0.014
1775858384432,0.008,-0.007,-0.013
1775858384452,0.005,-0.006,-0.011
1775858384472,0.003,-0.002,-0.009
1775858384492,0.002,-0.001,-0.009
1775858384511,0.003,0.001,-0.005
1775858384531,0.001,0.002,0.002
1775858384551,-0.002,0.006,0.006
1775858384571,0.000,0.009,0.003
1775858384590,0.003,0.008,0.001
1775858384610,0.004,0.007,0.001
1775858384630,0.004,0.007,0.002
1775858384650,0.005,0.005,0.000
1775858384669,0.007,0.003,0.000
1775858384689,0.007,0.001,-0.000
1775858384709,0.009,0.000,-0.003
1775858384729,0.010,-0.000,-0.004
1775858384748,0.009,0.000,-0.004
1775858384768,0.010,0.001,-0.004
1775858384788,0.010,0.001,-0.005
1775858384808,0.010,0.001,-0.007
1775858384828,0.009,0.000,-0.007
1775858384847,0.011,-0.001,-0.007
1775858384867,0.012,-0.003,-0.006
1775858384887,0.012,-0.004,-0.001
1775858384907,0.010,-0.003,0.001
1775858384926,0.012,0.000,0.004
1775858384946,0.012,0.001,0.007
1775858384966,0.010,0.005,0.009
1775858384986,0.008,0.006,0.010
1775858385005,0.008,0.006,0.008
1775858385025,0.006,0.006,0.007
1775858385045,0.007,0.004,0.004
1775858385065,0.005,0.003,0.004
1775858385084,0.006,0.002,0.001
1775858385104,0.006,0.000,0.001
1775858385124,0.006,0.000,0.002
1775858385144,0.005,-0.000,0.004
1775858385163,0.005,-0.001,0.004
1775858385183,0.007,-0.001,0.002
1775858385203,0.007,-0.003,0.003
1775858385223,0.007,-0.002,0.005
1775858385243,0.009,-0.001,0.002
1775858385262,0.012,-0.001,-0.001
1775858385282,0.013,-0.003,-0.001
1775858385302,0.011,-0.002,0.004
1775858385322,0.011,0.000,0.005
1775858385341,0.014,0.001,0.001
1775858385361,0.015,-0.000,0.003
1775858385381,0.013,-0.001,0.001
1775858385401,0.011,-0.002,-0.005
