absolute_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1773292813788875031,-0.354138,4.039084,7.513463,0.042150,0.048564,0.195629
1773292813789300031,-0.320638,4.039084,7.551748,0.042150,0.048564,0.195629
1773292813791035500,-0.320638,4.039084,7.551748,0.021380,0.054672,0.209068
1773292813791460500,-0.291924,4.048656,7.580462,0.021380,0.054672,0.209068
1773292813793195968,-0.291924,4.048656,7.580462,-0.004276,0.060781,0.222507
1773292813793620968,-0.263211,4.058227,7.604390,-0.004276,0.060781,0.222507
1773292813795356489,-0.263211,4.058227,7.604390,-0.025045,0.062003,0.235947
1773292813795781489,-0.239282,4.077370,7.618747,-0.025045,0.062003,0.235947
1773292813797516906,-0.239282,4.077370,7.618747,-0.048258,0.064446,0.249386
1773292813797941906,-0.220140,4.101298,7.633104,-0.048258,0.064446,0.249386
1773292813799677375,-0.220140,4.101298,7.633104,-0.075136,0.072998,0.261603
1773292813800102375,-0.196211,4.125226,7.652247,-0.075136,0.072998,0.261603
1773292813801837896,-0.196211,4.125226,7.652247,-0.104458,0.080329,0.267711
1773292813802262896,-0.172283,4.153940,7.671390,-0.104458,0.080329,0.267711
1773292813803998364,-0.172283,4.153940,7.671390,-0.135001,0.092546,0.273820
1773292813804423364,-0.148355,4.187439,7.695318,-0.135001,0.092546,0.273820
1773292813806583833,-0.124427,4.211368,7.733603,-0.135001,0.092546,0.273820
1773292813806158833,-0.124427,4.211368,7.733603,-0.165544,0.110872,0.276264
1773292813808319302,-0.124427,4.211368,7.733603,-0.197309,0.127976,0.279929
1773292813808744302,-0.100499,4.235296,7.781459,-0.197309,0.127976,0.279929
1773292813810479771,-0.100499,4.235296,7.781459,-0.226631,0.153632,0.282372
1773292813810904771,-0.081356,4.249653,7.843673,-0.226631,0.153632,0.282372
1773292813812640239,-0.081356,4.249653,7.843673,-0.248622,0.179289,0.292146
1773292813813065239,-0.066999,4.254439,7.915457,-0.248622,0.179289,0.292146
1773292813814800708,-0.066999,4.254439,7.915457,-0.270613,0.209832,0.299476
1773292813815225708,-0.066999,4.259224,7.992028,-0.270613,0.209832,0.299476
1773292813816961177,-0.066999,4.259224,7.992028,-0.296269,0.241597,0.304363
1773292813817386177,-0.071785,4.259224,8.078169,-0.296269,0.241597,0.304363
1773292813819121646,-0.071785,4.259224,8.078169,-0.315817,0.272140,0.310472
1773292813819546646,-0.086142,4.244867,8.164310,-0.315817,0.272140,0.310472
1773292813821282114,-0.086142,4.244867,8.164310,-0.331700,0.301462,0.317802
1773292813821707114,-0.105284,4.220939,8.240881,-0.331700,0.301462,0.317802
1773292813823442635,-0.105284,4.220939,8.240881,-0.347582,0.332005,0.323911
1773292813823867635,-0.129212,4.192225,8.312666,-0.347582,0.332005,0.323911
1773292813825603104,-0.129212,4.192225,8.312666,-0.356134,0.351553,0.331241
1773292813826028104,-0.167498,4.158726,8.374879,-0.356134,0.351553,0.331241
1773292813827763521,-0.167498,4.158726,8.374879,-0.363465,0.364992,0.339794
1773292813828188521,-0.215354,4.120440,8.427522,-0.363465,0.364992,0.339794
1773292813829923989,-0.215354,4.120440,8.427522,-0.365908,0.373544,0.350789
1773292813830348989,-0.272782,4.086941,8.465807,-0.365908,0.373544,0.350789
1773292813832084510,-0.272782,4.086941,8.465807,-0.364686,0.364992,0.360563
1773292813832509510,-0.334995,4.063013,8.494520,-0.364686,0.364992,0.360563
1773292813834669979,-0.401994,4.043870,8.518449,-0.364686,0.364992,0.360563
1773292813834244979,-0.401994,4.043870,8.518449,-0.358578,0.356440,0.371558
1773292813836405448,-0.401994,4.043870,8.518449,-0.348804,0.339335,0.380111
1773292813836830448,-0.473779,4.039084,8.537591,-0.348804,0.339335,0.380111
1773292813838565916,-0.473779,4.039084,8.537591,-0.339030,0.317344,0.388663
1773292813838990916,-0.545564,4.043870,8.561520,-0.339030,0.317344,0.388663
1773292813840726385,-0.545564,4.043870,8.561520,-0.323147,0.291688,0.397215
1773292813841151385,-0.612563,4.063013,8.595019,-0.323147,0.291688,0.397215
1773292813842886854,-0.612563,4.063013,8.595019,-0.312152,0.268475,0.403323
1773292813843311854,-0.669990,4.091727,8.618947,-0.312152,0.268475,0.403323
1773292813845047323,-0.669990,4.091727,8.618947,-0.292604,0.246484,0.409432
1773292813845472323,-0.717847,4.134798,8.633304,-0.292604,0.246484,0.409432
1773292813847207791,-0.717847,4.134798,8.633304,-0.279165,0.222049,0.411876
1773292813847632791,-0.751346,4.192225,8.638090,-0.279165,0.222049,0.411876
1773292813849368260,-0.751346,4.192225,8.638090,-0.263283,0.203723,0.409432
1773292813849793260,-0.765703,4.259224,8.642876,-0.263283,0.203723,0.409432
1773292813851528729,-0.765703,4.259224,8.642876,-0.242513,0.193950,0.410654
1773292813851953729,-0.775275,4.340580,8.580662,-0.242513,0.193950,0.410654
1773292813853689198,-0.775275,4.340580,8.580662,-0.210748,0.190284,0.405767
1773292813854114198,-0.794417,4.436293,8.422736,-0.210748,0.190284,0.405767
1773292813855849666,-0.794417,4.436293,8.422736,-0.171653,0.190284,0.394771
1773292813856274666,-0.847059,4.599005,8.159525,-0.171653,0.190284,0.394771
1773292813858010187,-0.847059,4.599005,8.159525,-0.127671,0.195171,0.372780
1773292813858435187,-0.904487,4.819145,7.905886,-0.127671,0.195171,0.372780
1773292813860170656,-0.904487,4.819145,7.905886,-0.093462,0.179289,0.344680
1773292813860595656,-0.937986,5.034499,7.762317,-0.093462,0.179289,0.344680
1773292813862331125,-0.937986,5.034499,7.762317,-0.075136,0.154854,0.309250
1773292813862756125,-0.933201,5.201996,7.709674,-0.075136,0.154854,0.309250
1773292813864491593,-0.933201,5.201996,7.709674,-0.061697,0.113315,0.272598
1773292813864916593,-0.914058,5.312066,7.700103,-0.061697,0.113315,0.272598
1773292813866652010,-0.914058,5.312066,7.700103,-0.053145,0.058338,0.234725
1773292813867077010,-0.885344,5.379066,7.724031,-0.053145,0.058338,0.234725
1773292813869237531,-0.870987,5.412565,7.767102,-0.053145,0.058338,0.234725
1773292813868812531,-0.870987,5.412565,7.767102,-0.045815,-0.005192,0.198073
1773292813870973000,-0.870987,5.412565,7.767102,-0.048258,-0.068722,0.161421
1773292813871398000,-0.856631,5.402994,7.824530,-0.048258,-0.068722,0.161421
1773292813873133468,-0.856631,5.402994,7.824530,-0.053145,-0.124922,0.127213
1773292813873558468,-0.885344,5.479564,7.901100,-0.053145,-0.124922,0.127213
1773292813875293937,-0.885344,5.479564,7.901100,-0.070249,-0.170126,0.066126
